ServiceNo,Direction,FromStop,ToStop,SequenceOrder,Geometry
147,1,64009,64041,0,qyjGepbyR?b@?|AHj@L`@@FBFDFVPXPHDHHLNVTb@`@NNDDLLGHIGKKQQWWa@_@MMIGKGWOc@]EIAGMa@Go@?qB?y@?i@@KDMFM@CjAuA\a@`@WVIb@AR?FAFAVKNGNKx@k@FQ@G?C?MGWgAkAGGMMUW
147,1,64041,64051,1,crjGmacyRa@c@KMAAe@g@aAgAoAyAY[KMeAgAqAyAMOGG
147,1,64051,64071,2,_`kGopcyRwAeBs@{@IKIKSWOQc@MSAM@E@QDQFs@fA_AxACBkA|Ag@j@_@Z
147,1,64071,64039,3,_rkGemcyRqAfASPg@f@[\e@t@CBKPCHWf@GPc@zAMx@AVA`@?pA?ZAr@
147,1,64039,64369,4,{{kGcxbyR???z@?f@@~@@h@?FBX@LJt@TvA@HHn@N`AF\FT
147,1,64369,64359,5,cykGgfbyR^~Ar@tBFNFJHPJPt@vAPV
147,1,64359,64349,6,askGazayRf@r@FHd@p@V\PXFDPPbAjADFJHjAfAd@`@ZVNL@@l@`@`@X
147,1,64349,63379,7,adkGujayRh@^RNz@h@h@XNLNJDBl@`@ZTbC|AHD
147,1,63379,63389,8,_wjGgaayR~@n@PNHNJ^Fb@C\_@dCQdBETQnACT
147,1,63389,63399,9,avjGmp`yRM~@Ih@Gh@SzAK|@?RFb@NXTVVPx@PVFH@
147,1,63399,63319,10,_sjGgb`yRvBZh@HLBZDEVS`BCl@?`ABVDjA@`@
147,1,63319,63219,11,emjGgu_yR@ZFpAF~@@r@DXJv@BP??BHR^^FNDn@J
147,1,63219,63209,12,chjG}h_yRl@Jb@Ln@RFBrAd@NFbAZRH|@Zv@Vd@N
147,1,63209,63199,13,ayiGsb_yRJBlAd@~EhB`@NjAd@ZNJDPHRHr@\
147,1,63199,63189,14,wgiGaz~xRJDl@V\RVJ^Jd@DL?P?F?X?^Cv@MZGAKCK?EBA\I
147,1,63189,63179,15,o{hGuy~xR^GB?D@DP@HBAt@KHAz@MPAnAQ
147,1,63179,63369,16,{rhGqz~xRr@KnASdAQv@KLCj@EV?J@j@Bl@BxAFn@FN@v@H
147,1,63369,66379,17,o~gGs{~xRNBv@LRDj@RfAf@JDXLLDt@ZfA`@j@J`AJnATXFp@JJ?
147,1,66379,62139,18,wigGet~xRjCRJ@n@BXBdA@d@AREREXMRMLGNKl@c@PKvAiAt@k@BAb@c@PPFD`Ap@`Av@B@
147,1,62139,62129,19,}nfGkw~xRdBtANHd@ZLFJDHFLD^R~Ap@vAh@
147,1,62129,62119,20,wafGco~xRn@Th@R|@h@HDFBJD~@\RAH@`Bd@D@FBHB`@J
147,1,62119,61049,21,gteGei~xRB@F@XHJB@D@Lf@Hb@D^?tB@L?n@Ch@CN?ZA`@AFAJ?|AE
147,1,61049,61039,22,gbeGah~xRdCGx@?pA@vAF`@?T?J?v@BjAFdBJ^B@?
147,1,61039,61029,23,mldGcg~xR^DdBJR@N@lAH~@Dh@DdBJ
147,1,61029,61019,24,e~cGke~xRj@Dt@DpAJj@FPBj@L\HJBd@LfAZ\HrAZf@J
147,1,61019,60269,25,ukcGo`~xRD?D@`BZr@JRBLBPBt@NrAXr@Hf@D
147,1,60269,60209,26,y}bG_}}xRx@HhDZ
147,1,60209,60179,27,uvbGy{}xRbBP~ATd@HJAL@N?D?BATIf@o@DAPCXBZNn@t@FD\RJFXJl@HPBxAH
147,1,60179,60159,28,u`bGyw}xRp@BbAJbAJRBB@rC`Ah@PHBRJFBDB??
147,1,60159,60139,29,yraGks}xRFB|BpALHj@^NH~@h@PLl@\fAl@
