ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,Latitude,Longitude,Description,RoadName
147,SBST,1,1,64009,0.0,1.37060695394614,103.89266808874676,Hougang Ctrl Int,Hougang Ctrl
147,SBST,1,2,64041,0.7,1.37016500002901,103.89535999996711,The Midtown,Upp S'goon Rd
147,SBST,1,3,64051,1.1,1.37239666924933,103.89777362456783,Blk 465A,Upp S'goon Rd
147,SBST,1,4,64071,1.6,1.37514056376267,103.89724811886428,Opp Punggol Pk,Hougang Ave 8
147,SBST,1,5,64039,2.1,1.37668753222312,103.89393761218089,Blk 434,Hougang Ave 8
147,SBST,1,6,64369,2.4,1.376302,103.891097,Blk 532,Hougang Ave 8
147,SBST,1,7,64359,2.7,1.37528677811119,103.88918760776436,Montfort Sch,Hougang Ave 8
147,SBST,1,8,64349,3.1,1.37291834719604,103.88673982857989,Blk 502,Hougang Ave 8
147,SBST,1,9,63379,3.4,1.370839,103.885214,Blk 608,Hougang Ave 8
147,SBST,1,10,63389,3.8,1.37063835467565,103.882445169636,Opp Xinmin Pr Sch,Hougang Ave 8
147,SBST,1,11,63399,4.1,1.37022333300436,103.8802849999831,Blk 632,Hougang Ave 8
147,SBST,1,12,63319,4.4,1.369226,103.878124,Opp Blk 634,Hougang Ave 2
147,SBST,1,13,63219,4.7,1.368497,103.876166,Bef Yio Chu Kang Chapel,Yio Chu Kang Rd
147,SBST,1,14,63209,5.0,1.36605804817414,103.87522122785421,Parkwood Residences,Yio Chu Kang Rd
147,SBST,1,15,63199,5.4,1.36327972197547,103.87383805598819,Aft Phillips Ave,Yio Chu Kang Rd
147,SBST,1,16,63189,5.7,1.36133997852966,103.87363460960414,Aft S'goon Gdn Way,Yio Chu Kang Rd
147,SBST,1,17,63179,5.9,1.35999305129204,103.87393532776181,Bef Tai Seng Chr Ch,Yio Chu Kang Rd
147,SBST,1,18,63369,6.3,1.356702,103.874108,S'goon Sports Cplx,Yio Chu Kang Link
147,SBST,1,19,66379,6.7,1.35339155862192,103.87285801649963,Blk 206,S'goon Ctrl
147,SBST,1,20,62139,7.2,1.3490461240579,103.87341165935781,S'goon Stn Exit A/Blk 413,Upp S'goon Rd
147,SBST,1,21,62129,7.5,1.34698958928417,103.87205488524701,Blk 403,Upp S'goon Rd
147,SBST,1,22,62119,7.8,1.34483265931476,103.8710922003054,Aft Sunshine Lodge,Upp S'goon Rd
147,SBST,1,23,61049,8.1,1.34196277802503,103.8709686110327,Aft Bartley Rd,Upp S'goon Rd
147,SBST,1,24,61039,8.5,1.33845332842129,103.87084881783568,Woodleigh Stn Exit A,Upp S'goon Rd
147,SBST,1,25,61029,8.8,1.336175,103.870563,Opp Woodleigh Pk,Upp S'goon Rd
147,SBST,1,26,61019,9.1,1.33320166700854,103.86976166703383,Opp Blk 101,Upp S'goon Rd
147,SBST,1,27,60269,9.4,1.33099030126892,103.86922890950602,Potong Pasir Stn Exit B,Upp S'goon Rd
147,SBST,1,28,60209,9.5,1.32986133945973,103.86896099565628,Sant Ritz,Upp S'goon Rd
147,SBST,1,29,60179,10.0,1.32634025655419,103.86834025123765,MOM Svcs Ctr,Bendemeer Rd
147,SBST,1,30,60159,10.2,1.32409476572475,103.86764196002876,Blk 54,Bendemeer Rd
